name,address,link,type of education,n_students,neighborhood,type,School Target,Other_schools_target,School fundamental,Other_schools_fundamental
RK School voor Speciaal Basisonderwijs De Tandem,Ereprijsstraat 1,/basisscholen/uden/5104/rk-school-voor-speciaal-basisonderwijs-de-tandem/,Katholiek Speciaal,73.0,Uden,Basic School,9.3,39.3,33.3,33.3
Basisschool Vindingrijk,Horgetouw 1,/basisscholen/uden/5105/basisschool-vindingrijk/,Samenwerking Basisonderwijs233,233.0,Uden,Basic School,51.2,55.8,94.2,94.7
Basisschool 't Mulderke,Wislaan 219,/basisscholen/uden/5106/basisschool-t-mulderke/,Katholiek Basisonderwijs428,428.0,Uden,Basic School,68.8,64.7,98.7,96.7
Speelleercentrum De Wijde Wereld,Helmteken 24,/basisscholen/uden/8979/speelleercentrum-de-wijde-wereld/,Katholiek Basisonderwijs339,339.0,Uden,Basic School,78.1,66.8,100.0,97.0
Vrije Basisschool De Zevenster,Bronkhorstsingel 7,/basisscholen/uden/9830/vrije-basisschool-de-zevenster/,Algemeen bijzonder,231.0,Uden,Basic School,49.7,63.6,93.5,96.4
Sterrenkijker Uden,Aldetiendstraat 17,/basisscholen/uden/11433/sterrenkijker-uden/,Algemeen bijzonder,80.0,Uden,Basic School,,,,
Maashorstschool,Aldetiendstraat 21 a,/basisscholen/uden/25410/maashorstschool/,Algemeen bijzonder,48.0,Uden,Basic School,35.2,61.1,77.8,96.0
Openbare basisschool De Klimboom,Leeuweriksweg 10,/basisscholen/uden/25020/openbare-basisschool-de-klimboom/,Openbaar Basisonderwijs103,103.0,Uden,Basic School,37.3,48.4,88.1,92.1
OBS Camelot,Germenzeel 500,/basisscholen/uden/25036/obs-camelot/,Openbaar Basisonderwijs191,191.0,Uden,Basic School,53.8,59.2,92.0,95.6
Openbare Basisschool de Cirkel,Wislaan 221,/basisscholen/uden/25090/openbare-basisschool-de-cirkel/,Openbaar Basisonderwijs112,112.0,Uden,Basic School,59.4,59.2,98.9,95.6
Kindcentrum de Mortel,Perweide 5,/basisscholen/udenhout/9509/kindcentrum-de-mortel/,Samenwerking Basisonderwijs314,314.0,Udenhout,Basic School,60.9,63.6,98.1,96.4
Basisschool De Wichelroede,Van Heeswijkstraat 1 B,/basisscholen/udenhout/5639/basisschool-de-wichelroede/,Katholiek Basisonderwijs338,338.0,Udenhout,Basic School,71.9,61.1,97.0,96.0
Oosterveldschool,Schoolstraat 4,/basisscholen/uffelte/7432/oosterveldschool/,Openbaar Basisonderwijs71,71.0,Uffelte,Basic School,55.9,58.3,96.1,95.4
Daltonschool Eloy,Nijenbeek 8,/basisscholen/ugchelen/26439/daltonschool-eloy/,Katholiek Basisonderwijs256,256.0,Ugchelen,Basic School,66.7,63.6,96.6,96.4
IKC Spreng Ugchelen,Bogaardslaan 75,/basisscholen/ugchelen/12215/ikc-spreng-ugchelen/,Prot. christelijk,319.0,Ugchelen,Basic School,81.3,63.3,99.7,96.3
Kindcentrum Cornelis,Wiekenlaan 94,/basisscholen/uitgeest/9291/kindcentrum-cornelis/,Katholiek Basisonderwijs269,269.0,Uitgeest,Basic School,59.5,59.2,98.6,95.6
Basisschool Binnenmeer,Langebuurt 31,/basisscholen/uitgeest/5395/basisschool-binnenmeer/,Katholiek Basisonderwijs277,277.0,Uitgeest,Basic School,59.1,61.1,97.5,96.0
Kindcentrum Kornak,Benningskamplaan 60,/basisscholen/uitgeest/5401/kindcentrum-kornak/,Katholiek Basisonderwijs372,372.0,Uitgeest,Basic School,71.5,64.7,97.0,96.7
Openbare Basisschool De Wissel,De Hoop 3,/basisscholen/uitgeest/9740/openbare-basisschool-de-wissel/,Openbaar Basisonderwijs190,190.0,Uitgeest,Basic School,59.8,63.6,94.1,96.4
Jenaplanschool 't Startnest,Arthur van Schendellaan 100 E,/basisscholen/uithoorn/25685/jenaplanschool-t-startnest/,Katholiek Basisonderwijs222,222.0,Uithoorn,Basic School,58.9,60.8,95.0,96.0
Interconfessionele Basisschool de Vuurvogel,Arthur van Schendellaan 53,/basisscholen/uithoorn/5322/interconfessionele-basisschool-de-vuurvogel/,Prot. christelijk,183.0,Uithoorn,Basic School,52.6,49.0,94.4,92.6
De Kwikstaart,Randhoornweg 33,/basisscholen/uithoorn/5323/de-kwikstaart/,Katholiek Basisonderwijs676,676.0,Uithoorn,Basic School,63.5,62.0,95.6,96.4
het Duet,Prinses Christinalaan 120,/basisscholen/uithoorn/9219/het-duet/,Confessioneel overig,396.0,Uithoorn,Basic School,66.2,55.3,94.9,94.4
De Springschans,Eendracht 8,/basisscholen/uithoorn/25639/de-springschans/,Katholiek Basisonderwijs414,414.0,Uithoorn,Basic School,64.8,63.6,98.1,96.4
De Dolfijn,Randhoornweg 31,/basisscholen/uithoorn/5714/de-dolfijn/,Katholiek Speciaal,160.0,Uithoorn,Basic School,3.2,16.1,3.2,41.9
