,name,address,link,details,n_students,neighborhood,type
7631,Basisschool De Sporckt,Meerssenstraat 1b,/basisscholen/tilburg/7808/basisschool-de-sporckt/,KatholiekBasisonderwijs459 leerlingen,459,Tilburg,Basic School
7632,Montessoribasisschool De Petteflet,Kamerikstraat 19,/basisscholen/tilburg/11614/montessoribasisschool-de-petteflet/,KatholiekBasisonderwijs192 leerlingenMontessori,192,Tilburg,Basic School
7633,Basisschool Meander,Meddostraat 6,/basisscholen/tilburg/7809/basisschool-meander/,KatholiekBasisonderwijs265 leerlingen,265,Tilburg,Basic School
7634,Basisschool De Bloemaert,Dalemdreef 23,/basisscholen/tilburg/7810/basisschool-de-bloemaert/,KatholiekBasisonderwijs275 leerlingen,275,Tilburg,Basic School
7635,Basisschool De Boemerang,Rijperkerkstraat 2,/basisscholen/tilburg/7811/basisschool-de-boemerang/,KatholiekBasisonderwijs300 leerlingen,300,Tilburg,Basic School
7636,Basisschool Klinkers,Woerdenstraat 60,/basisscholen/tilburg/7812/basisschool-klinkers/,KatholiekBasisonderwijs335 leerlingenNieuw / natuurlijk / conceptueel leren,335,Tilburg,Basic School
7637,ZML De Bodde,Karel Boddenweg 1,/basisscholen/tilburg/11931/zml-de-bodde/,KatholiekSpeciaal onderwijs169 leerlingen,169,Tilburg,Basic School
7638,SBO Zonnesteen,Generaal Smutslaan 11,/basisscholen/tilburg/11933/sbo-zonnesteen/,KatholiekSpeciaal basisonderwijs198 leerlingen,198,Tilburg,Basic School
7639,School voor Speciaal Basisonderwijs Westerwel,Bladelstraat 3,/basisscholen/tilburg/8126/school-voor-speciaal-basisonderwijs-westerwel/,KatholiekSpeciaal basisonderwijs269 leerlingen,269,Tilburg,Basic School
7640,School voor Speciaal Basisonderwijs Noorderlicht,De Schans 135,/basisscholen/tilburg/11934/school-voor-speciaal-basisonderwijs-noorderlicht/,KatholiekSpeciaal basisonderwijs168 leerlingen,168,Tilburg,Basic School
7641,'n Esch,Schoolstraat 18,/basisscholen/tilligte/12014/n-esch/,KatholiekBasisonderwijs46 leerlingen,46,Tilligte,Basic School
7642,Samenwerkingsschool De Nijewier,'t Hiem 5,/basisscholen/tjalleberd/9885/samenwerkingsschool-de-nijewier/,SamenwerkingBasisonderwijs161 leerlingen,161,Tjalleberd,Basic School
7643,Christelijke Basisschool De Reinbôge,Waltaweg 29,/basisscholen/tjerkwerd/22641/christelijke-basisschool-de-reinboge/,Prot. christelijkBasisonderwijs37 leerlingen,37,Tjerkwerd,Basic School
7644,cbs de Regenboog,'t Oelbred 4,/basisscholen/tolbert/6703/cbs-de-regenboog/,Prot. christelijkBasisonderwijs176 leerlingen,176,Tolbert,Basic School
7645,Basisschool De Beelen,Beelen 3,/basisscholen/tolbert/25095/basisschool-de-beelen/,OpenbaarBasisonderwijs136 leerlingen,136,Tolbert,Basic School
7646,Protestants Christelijke Basisschool De Rank,Russerweg 23,/basisscholen/toldijk/5733/protestants-christelijke-basisschool-de-rank/,Prot. christelijkBasisonderwijs100 leerlingen,100,Toldijk,Basic School
7647,Dalton IKC De Overlaat,'t Laantje 2,/basisscholen/tolkamer/8889/dalton-ikc-de-overlaat/,Algemeen bijzonderBasisonderwijs260 leerlingen,260,Tolkamer,Basic School
7648,cbs Op de Wieken,Fazantendrift 2,/basisscholen/tollebeek/25532/cbs-op-de-wieken/,Prot. christelijkBasisonderwijs151 leerlingen,151,Tollebeek,Basic School
7649,SWS de Sprang,Fazantendrift 4,/basisscholen/tollebeek/9268/sws-de-sprang/,SamenwerkingBasisonderwijs99 leerlingen,99,Tollebeek,Basic School
7650,IKC BinnensteBuiten,Prins Johan Frisoplaats 3a,/basisscholen/tricht/10568/ikc-binnenstebuiten/,OpenbaarBasisonderwijs134 leerlingen,134,Tricht,Basic School
7651,R.K. basisschool de Wiekslag,Bruno van Ommenstraat 34,/basisscholen/tubbergen/11664/rk-basisschool-de-wiekslag/,KatholiekBasisonderwijs439 leerlingen,439,Tubbergen,Basic School
7652,Christelijke Basisschool Klingelenburg,Weerklank 10,/basisscholen/tuil/23207/christelijke-basisschool-klingelenburg/,Prot. christelijkBasisonderwijs104 leerlingen,104,Tuil,Basic School
