name,address,link,details,n_students,neighborhood,type
OBS Oostenbrink / Het Hoeltien,Kerkenkavel 40,/basisscholen/hollandscheveld/11405/obs-oostenbrink-het-hoeltien/,Openbaar Basisonderwijs104,104.0,Hollandscheveld,Basic School
Openbare Basisschool De Schakel,Schoolstraat 5,/basisscholen/hollum/4695/openbare-basisschool-de-schakel/,Openbaar Basisonderwijs33,33.0,Hollum,Basic School
Christelijke Basisschool Koningin Wilhelmina,De Hagen 15,/basisscholen/hollum/8798/christelijke-basisschool-koningin-wilhelmina/,Prot. christelijk,55.0,Hollum,Basic School
Basisschool Dijkerhoek,Dijkerhoekseweg 30,/basisscholen/holten/25916/basisschool-dijkerhoek/,Openbaar Basisonderwijs74,74.0,Holten,Basic School
Openbare daltonschool de Holterenk,Dorsmolen 1,/basisscholen/holten/25917/openbare-daltonschool-de-holterenk/,Openbaar Basisonderwijs165,165.0,Holten,Basic School
Haarschool,Koningin Wilhelminastraat 15,/basisscholen/holten/25911/haarschool/,Openbaar Basisonderwijs211,211.0,Holten,Basic School
Protestants Christelijke Basisschool De Regenboog,Schoolstraat 9,/basisscholen/holten/8531/protestants-christelijke-basisschool-de-regenboog/,Prot. christelijk,253.0,Holten,Basic School
Basisschool Sint Jozef,Gildestraat 29,/basisscholen/holthees/7669/basisschool-sint-jozef/,Katholiek Basisonderwijs50,50.0,Holthees,Basic School
de Tijstream,Stasjonswei 12,/basisscholen/holwert/6401/de-tijstream/,Openbaar Basisonderwijs141,141.0,Holwert,Basic School
Openbare Basisschool Hiliglo,Pastorielaan 1,/basisscholen/holwierde/6770/openbare-basisschool-hiliglo/,Openbaar Basisonderwijs62,62.0,Holwierde,Basic School
Van Haersma Buma School,De Hoep 45,/basisscholen/hommerts/11370/van-haersma-buma-school/,Prot. christelijk,71.0,Hommerts,Basic School
WSKO BS 't Startblok,Veilingweg 1 A,/basisscholen/honselersdijk/4730/wsko-bs-t-startblok/,Katholiek Basisonderwijs271,271.0,Honselersdijk,Basic School
Christelijke Basisschool De Hoeksteen,Fazantlaan 4,/basisscholen/honselersdijk/10259/christelijke-basisschool-de-hoeksteen/,Prot. christelijk,178.0,Honselersdijk,Basic School
Openbare Daltonschool Honselersdijk,Adelaarshorst 23,/basisscholen/honselersdijk/21778/openbare-daltonschool-honselersdijk/,Openbaar Basisonderwijs38,38.0,Honselersdijk,Basic School
obs Dik Trom,Wormerstraat 25,/basisscholen/hoofddorp/4640/obs-dik-trom/,Openbaar Basisonderwijs187,187.0,Hoofddorp,Basic School
IJwegschool,Sparresholm 197,/basisscholen/hoofddorp/8207/ijwegschool/,Openbaar Basisonderwijs123,123.0,Hoofddorp,Basic School
Basisschool De Bosrank,Liesbos 18 -20,/basisscholen/hoofddorp/8213/basisschool-de-bosrank/,Openbaar Basisonderwijs83,83.0,Hoofddorp,Basic School
School voor Speciaal Basisonderwijs Dr JP Heije,Prins Hendriklaan 30,/basisscholen/hoofddorp/4646/school-voor-speciaal-basisonderwijs-dr-jp-heije/,Openbaar Speciaal,114.0,Hoofddorp,Basic School
Openbare Basisschool De Tovercirkel,Zandbos 46,/basisscholen/hoofddorp/8214/openbare-basisschool-de-tovercirkel/,Openbaar Basisonderwijs168,168.0,Hoofddorp,Basic School
OBS Twickel,Schuilenburg 7,/basisscholen/hoofddorp/8215/obs-twickel/,Openbaar Basisonderwijs252,252.0,Hoofddorp,Basic School
Openbare Basisschool de Octopus,Femina Mullerstraat 78,/basisscholen/hoofddorp/8216/openbare-basisschool-de-octopus/,Openbaar Basisonderwijs273,273.0,Hoofddorp,Basic School
Obs De Optimist,Deltaweg 109,/basisscholen/hoofddorp/8218/obs-de-optimist/,Openbaar Basisonderwijs712,712.0,Hoofddorp,Basic School
De Klimboom,Liesbos 14 - 16,/basisscholen/hoofddorp/5715/de-klimboom/,Algemeen bijzonder,71.0,Hoofddorp,Basic School
Het Kompas,Anne Franklaan 20,/basisscholen/hoofddorp/5720/het-kompas/,Algemeen bijzonder,85.0,Hoofddorp,Basic School
Auris Prof. Van Gilseschool,Deltaweg 101,/basisscholen/hoofddorp/23884/auris-prof-van-gilseschool/,Algemeen bijzonder,,Hoofddorp,Basic School
PI-school De Ster,Van den Berghlaan 78,/basisscholen/hoofddorp/10253/pi-school-de-ster/,Prot. christelijk,68.0,Hoofddorp,Basic School
Rooms Katholieke Basisschool Klimop,Burgemeester Pabstlaan 5,/basisscholen/hoofddorp/23479/rooms-katholieke-basisschool-klimop/,Katholiek Basisonderwijs395,395.0,Hoofddorp,Basic School
Interconfessionele Basisschool De Caleidoscoop,Hammarskjoldstraat 236,/basisscholen/hoofddorp/23481/interconfessionele-basisschool-de-caleidoscoop/,Confessioneel overig,386.0,Hoofddorp,Basic School
IKC Wereldwijs,Graan voor Visch 14402,/basisscholen/hoofddorp/23404/ikc-wereldwijs/,Prot. christelijk,282.0,Hoofddorp,Basic School
Rooms Katholieke Basisschool Klippeholm,Skagerrak 184,/basisscholen/hoofddorp/23482/rooms-katholieke-basisschool-klippeholm/,Katholiek Basisonderwijs358,358.0,Hoofddorp,Basic School
Christelijke Basisschool Het Braambos,Waddenweg 83,/basisscholen/hoofddorp/23483/christelijke-basisschool-het-braambos/,Prot. christelijk,334.0,Hoofddorp,Basic School
Rooms Katholieke Basisschool de Bosbouwers,Liesbos 10-12,/basisscholen/hoofddorp/23448/rooms-katholieke-basisschool-de-bosbouwers/,Katholiek Basisonderwijs203,203.0,Hoofddorp,Basic School
Christelijke Basisschool Vesterhavet,Skagerrak 170,/basisscholen/hoofddorp/23407/christelijke-basisschool-vesterhavet/,Prot. christelijk,197.0,Hoofddorp,Basic School
Kindcentrum Natuurlijk!,Van den Berghlaan 82,/basisscholen/hoofddorp/23408/kindcentrum-natuurlijk/,Prot. christelijk,170.0,Hoofddorp,Basic School
OBS Den Beemd,Schoolstraat 3E,/basisscholen/hoogblokland/10816/obs-den-beemd/,Openbaar Basisonderwijs39,39.0,Hoogblokland,Basic School
Basisschool De Wegwijzer,Schoolstraat 3 d,/basisscholen/hoogblokland/8593/basisschool-de-wegwijzer/,Prot. christelijk,64.0,Hoogblokland,Basic School
Basisschool De Akkerwinde,Averbodelaan 1,/basisscholen/hooge-mierde/11500/basisschool-de-akkerwinde/,Katholiek Basisonderwijs170,170.0,Hooge Mierde,Basic School
IBS De Schittering,Burgemeester Godwaldtstraat 4,/basisscholen/hooge-zwaluwe/7207/ibs-de-schittering/,Confessioneel overig,119.0,Hooge Zwaluwe,Basic School
Rooms Katholieke Basisschool De Vest,Hofveld 4,/basisscholen/hoogeloon/11504/rooms-katholieke-basisschool-de-vest/,Katholiek Basisonderwijs158,158.0,Hoogeloon,Basic School
Christelijke Basisschool Delphin,Philomenahof 27,/basisscholen/hoogerheide/5277/christelijke-basisschool-delphin/,Prot. christelijk,30.0,Hoogerheide,Basic School
Fortuna Hoogerheide,Bloemenlaan 52,/basisscholen/hoogerheide/9189/fortuna-hoogerheide/,Katholiek Basisonderwijs74,74.0,Hoogerheide,Basic School
RK Basisschool Klim-Op,Philomenahof 31,/basisscholen/hoogerheide/9190/rk-basisschool-klim-op/,Katholiek Basisonderwijs321,321.0,Hoogerheide,Basic School
Openbare Basisschool De Dobbelsteen,Philomenahof 29,/basisscholen/hoogerheide/11039/openbare-basisschool-de-dobbelsteen/,Openbaar Basisonderwijs229,229.0,Hoogerheide,Basic School
Kindcentrum de Vaart,Prof. Dr. Obbinkstraat 3B,/basisscholen/hoogersmilde/8957/kindcentrum-de-vaart/,Prot. christelijk,59.0,Hoogersmilde,Basic School
Talentvol IKC Pieter van Thuyl,Prof. Dr. Obbinkstraat 3,/basisscholen/hoogersmilde/11123/talentvol-ikc-pieter-van-thuyl/,Openbaar Basisonderwijs63,63.0,Hoogersmilde,Basic School
R.K. Basisschool Titus Brandsma,Herman Bavinckstraat 1,/basisscholen/hoogeveen/5526/rk-basisschool-titus-brandsma/,Katholiek Basisonderwijs169,169.0,Hoogeveen,Basic School
Montessorischool Het Element,De Karn 5,/basisscholen/hoogeveen/25771/montessorischool-het-element/,Algemeen bijzonder,58.0,Hoogeveen,Basic School
"Gespecialiseerd Onderwijs Hoogeveen (SBO de Kameleon), locatie van Gogh",Van Goghlaan 3,/basisscholen/hoogeveen/23929/gespecialiseerd-onderwijs-hoogeveen-sbo-de-kameleon-locatie-van-gogh/,Algemeen bijzonder,32.0,Hoogeveen,Basic School
"Gespecialiseerd Onderwijs Hoogeveen (SO de Aventurijn), locatie van Gogh",van Goghlaan 3,/basisscholen/hoogeveen/23285/gespecialiseerd-onderwijs-hoogeveen-so-de-aventurijn-locatie-van-gogh/,Algemeen bijzonder,45.0,Hoogeveen,Basic School
"Gespecialiseerd Onderwijs Hoogeveen (SBO de Carrousel), locatie Wielewaal",De Wielewaal 1,/basisscholen/hoogeveen/23885/gespecialiseerd-onderwijs-hoogeveen-sbo-de-carrousel-locatie-wielewaal/,Algemeen bijzonder,85.0,Hoogeveen,Basic School
"Gespecialiseerd Onderwijs Hoogeveen (SO de G.J. van der Ploegschool), locatie Wielewaal",De Wielewaal 1,/basisscholen/hoogeveen/23847/gespecialiseerd-onderwijs-hoogeveen-so-de-gj-van-der-ploegschool-locatie-wielewaal/,Algemeen bijzonder,65.0,Hoogeveen,Basic School
Kindcentrum het Koraal,Beukemastraat 44,/basisscholen/hoogeveen/24699/kindcentrum-het-koraal/,Prot. christelijk,96.0,Hoogeveen,Basic School
obs Villa Kakelbont,Stoekeplein 1,/basisscholen/hoogeveen/11403/obs-villa-kakelbont/,Openbaar Basisonderwijs73,73.0,Hoogeveen,Basic School
obs Het Spectrum,Boekenberghstraat 12,/basisscholen/hoogeveen/22149/obs-het-spectrum/,Openbaar Basisonderwijs99,99.0,Hoogeveen,Basic School
O.B.S. de Goudvink,Koekoeklaan 1,/basisscholen/hoogeveen/22150/obs-de-goudvink/,Openbaar Basisonderwijs151,151.0,Hoogeveen,Basic School
't Kienholt,van Leeuwenhoekstraat 85,/basisscholen/hoogeveen/7597/t-kienholt/,Openbaar Basisonderwijs116,116.0,Hoogeveen,Basic School
OBS De Schuthoek,Booyenverlaat 7,/basisscholen/hoogeveen/11404/obs-de-schuthoek/,Openbaar Basisonderwijs218,218.0,Hoogeveen,Basic School
Apollo,Orion 16 a,/basisscholen/hoogeveen/7599/apollo/,Openbaar Basisonderwijs137,137.0,Hoogeveen,Basic School
Obs Het Rastholt,Tilber 9,/basisscholen/hoogeveen/7600/obs-het-rastholt/,Openbaar Basisonderwijs92,92.0,Hoogeveen,Basic School
De Morgenster,Orion 16B,/basisscholen/hoogeveen/8034/de-morgenster/,Prot. christelijk,255.0,Hoogeveen,Basic School
Juliana van Stolbergschool,K de Raadstraat 6,/basisscholen/hoogeveen/11851/juliana-van-stolbergschool/,Prot. christelijk,160.0,Hoogeveen,Basic School
't Kofschip,Booyenverlaat 11,/basisscholen/hoogeveen/8035/t-kofschip/,Prot. christelijk,423.0,Hoogeveen,Basic School
De Sprong,Boekenberghstraat 12,/basisscholen/hoogeveen/11852/de-sprong/,Prot. christelijk,264.0,Hoogeveen,Basic School
Het Palet,van Goghlaan 5,/basisscholen/hoogeveen/8036/het-palet/,Prot. christelijk,117.0,Hoogeveen,Basic School
De Weidebloem,Schweitzerstraat 21,/basisscholen/hoogeveen/8037/de-weidebloem/,Prot. christelijk,234.0,Hoogeveen,Basic School
Jenaplanschool 't Vlot,Mars 1 C,/basisscholen/hoogezand/9378/jenaplanschool-t-vlot/,Algemeen bijzonder,129.0,Hoogezand,Basic School
SBO De Sterren,Zuiderkroon 8,/basisscholen/hoogezand/25425/sbo-de-sterren/,Algemeen bijzonder,123.0,Hoogezand,Basic School
CBS de Hoeksteen,Beetslaan 2,/basisscholen/hoogezand/22568/cbs-de-hoeksteen/,Prot. christelijk,62.0,Hoogezand,Basic School
CBS de Regenboog,Mars 1b,/basisscholen/hoogezand/22574/cbs-de-regenboog/,Prot. christelijk,167.0,Hoogezand,Basic School
CBS Het Galjoen,van Heemskerckstraat 32,/basisscholen/hoogezand/22576/cbs-het-galjoen/,Prot. christelijk,170.0,Hoogezand,Basic School
Basisschool De Lichtbron - school met de Bijbel,Keyserstraat 7,/basisscholen/hoogezand/25458/basisschool-de-lichtbron-school-met-de-bijbel/,Prot. christelijk,91.0,Hoogezand,Basic School
OBS de Achtbaan,Beetslaan 8,/basisscholen/hoogezand/25117/obs-de-achtbaan/,Openbaar Basisonderwijs171,171.0,Hoogezand,Basic School
OBS Het Noorderlicht,Zuiderkroon 6,/basisscholen/hoogezand/25118/obs-het-noorderlicht/,Openbaar Basisonderwijs328,328.0,Hoogezand,Basic School
OBS De Ontdekking,Jan Huitzingstraat 4,/basisscholen/hoogezand/25077/obs-de-ontdekking/,Openbaar Basisonderwijs185,185.0,Hoogezand,Basic School
Theo Thijssenschool,Boomgaard 37,/basisscholen/hoogezand/25041/theo-thijssenschool/,Openbaar Basisonderwijs283,283.0,Hoogezand,Basic School
St Gerardus Majella,Beetslaan 4,/basisscholen/hoogezand/11525/st-gerardus-majella/,Katholiek Basisonderwijs52,52.0,Hoogezand,Basic School
St. Antoniusschool,Boomgaard 31,/basisscholen/hoogezand/11531/st-antoniusschool/,Katholiek Basisonderwijs368,368.0,Hoogezand,Basic School
IKC De Bosvlinder,Bosweg 1,/basisscholen/hooghalen/11126/ikc-de-bosvlinder/,Openbaar Basisonderwijs82,82.0,Hooghalen,Basic School
Basisschool't Skitteljacht,Nachtegaal 1,/basisscholen/hoogkarspel/8228/basisschoolt-skitteljacht/,Openbaar Basisonderwijs155,155.0,Hoogkarspel,Basic School
Meester Spigtschool,Duijvenbrug 15,/basisscholen/hoogkarspel/22802/meester-spigtschool/,Katholiek Basisonderwijs228,228.0,Hoogkarspel,Basic School
Het Kerspel,Nachtegaal 1,/basisscholen/hoogkarspel/22804/het-kerspel/,Katholiek Basisonderwijs315,315.0,Hoogkarspel,Basic School
P.C. basisschool De Berkenschool,Berkenlaan 29 -31,/basisscholen/hoogland/8849/pc-basisschool-de-berkenschool/,Prot. christelijk,216.0,Hoogland,Basic School
Gereformeerde Basisschool De Horizon,Sportlaan 14,/basisscholen/hoogland/24600/gereformeerde-basisschool-de-horizon/,Prot. christelijk,197.0,Hoogland,Basic School
Openbare Jenaplanschool De Bieshaar,Kraailandhof 3,/basisscholen/hoogland/6487/openbare-jenaplanschool-de-bieshaar/,Openbaar Basisonderwijs177,177.0,Hoogland,Basic School
Montessori Basisschool De Kosmos,De Bovenkruier 1,/basisscholen/hoogland/26604/montessori-basisschool-de-kosmos/,Algemeen bijzonder,316.0,Hoogland,Basic School
Basisschool De Langenoord,Kerklaan 7,/basisscholen/hoogland/11893/basisschool-de-langenoord/,Katholiek Basisonderwijs297,297.0,Hoogland,Basic School
Basisschool De Biezen,Kraailandhof 1,/basisscholen/hoogland/11896/basisschool-de-biezen/,Katholiek Basisonderwijs209,209.0,Hoogland,Basic School
R.K. basisschool St. Joseph,Disselplein 10,/basisscholen/hooglanderveen/8086/rk-basisschool-st-joseph/,Katholiek Basisonderwijs397,397.0,Hooglanderveen,Basic School
Rooms Katholieke Basisschool Ter Does,Schoollaan 4,/basisscholen/hoogmade/5657/rooms-katholieke-basisschool-ter-does/,Katholiek Basisonderwijs108,108.0,Hoogmade,Basic School
Jacobusschool,Hesselingstraat 5,/basisscholen/hoogvliet-rotterdam/8716/jacobusschool/,Katholiek Basisonderwijs130,130.0,Hoogvliet Rotterdam,Basic School
De Schakel,Cloese 4,/basisscholen/hoogvliet-rotterdam/4796/de-schakel/,Katholiek Basisonderwijs222,222.0,Hoogvliet Rotterdam,Basic School
basisschool 't Prisma,Nieuwe Wetering 251,/basisscholen/hoogvliet-rotterdam/7154/basisschool-t-prisma/,Openbaar Basisonderwijs379,379.0,Hoogvliet Rotterdam,Basic School
Basisschool Het Prisma,Sara Burgerhartweg 60,/basisscholen/hoogvliet-rotterdam/11018/basisschool-het-prisma/,Openbaar Basisonderwijs237,237.0,Hoogvliet Rotterdam,Basic School
OBS De Notenkraker,Othelloweg 8,/basisscholen/hoogvliet-rotterdam/7155/obs-de-notenkraker/,Openbaar Basisonderwijs247,247.0,Hoogvliet Rotterdam,Basic School
De Tuimelaar,Lengweg 146,/basisscholen/hoogvliet-rotterdam/11019/de-tuimelaar/,Openbaar Basisonderwijs179,179.0,Hoogvliet Rotterdam,Basic School
Openbare basisschool de Plevier,Aalreep 24,/basisscholen/hoogvliet-rotterdam/7157/openbare-basisschool-de-plevier/,Openbaar Basisonderwijs452,452.0,Hoogvliet Rotterdam,Basic School
SBO Hoogvliet,Othelloweg 8,/basisscholen/hoogvliet-rotterdam/7165/sbo-hoogvliet/,Openbaar Speciaal,80.0,Hoogvliet Rotterdam,Basic School
CBS Het Middelpunt,Cromme Meth 70,/basisscholen/hoogvliet-rotterdam/11571/cbs-het-middelpunt/,Prot. christelijk,348.0,Hoogvliet Rotterdam,Basic School
Protestants Christelijke Basisschool Zalmplaat,Aalreep 10,/basisscholen/hoogvliet-rotterdam/7772/protestants-christelijke-basisschool-zalmplaat/,Prot. christelijk,564.0,Hoogvliet Rotterdam,Basic School
De Adelaar,Burg Heymansstraat 2,/basisscholen/hoogwoud/6233/de-adelaar/,Openbaar Basisonderwijs114,114.0,Hoogwoud,Basic School
Basisschool St Wulfram,Burg Heymansstraat 4,/basisscholen/hoogwoud/8316/basisschool-st-wulfram/,Katholiek Basisonderwijs171,171.0,Hoogwoud,Basic School
Oecumenische basisschool Het Spectrum,Volkerakweg 1,/basisscholen/hoorn/8941/oecumenische-basisschool-het-spectrum/,Confessioneel overig,305.0,Hoorn,Basic School
RK Jenaplanschool De Pontonnier,Ark 2,/basisscholen/hoorn/22815/rk-jenaplanschool-de-pontonnier/,Katholiek Basisonderwijs117,117.0,Hoorn,Basic School
Mariaschool,Eikstraat 3,/basisscholen/hoorn/5079/mariaschool/,Katholiek Basisonderwijs410,410.0,Hoorn,Basic School
Oecumenische basisschool de Ichthus,Grote Beer 1,/basisscholen/hoorn/8943/oecumenische-basisschool-de-ichthus/,Confessioneel overig,142.0,Hoorn,Basic School
RK Bernardus van Bockxmeerschool,Tweeboomlaan 104,/basisscholen/hoorn/5080/rk-bernardus-van-bockxmeerschool/,Katholiek Basisonderwijs215,215.0,Hoorn,Basic School
PC Basisschool Het Kompas,De Huesmolen 61,/basisscholen/hoorn/8945/pc-basisschool-het-kompas/,Prot. christelijk,233.0,Hoorn,Basic School
IBS de Ceder,Ceder 1,/basisscholen/hoorn/8946/ibs-de-ceder/,Confessioneel overig,167.0,Hoorn,Basic School
Oecumenische Basisschool Dynamis,Stan Kentonhof 86,/basisscholen/hoorn/5083/oecumenische-basisschool-dynamis/,Confessioneel overig,152.0,Hoorn,Basic School
TVH Jenaplanschool de Tandem,Boedijnhof 1,/basisscholen/hoorn/9128/tvh-jenaplanschool-de-tandem/,Algemeen bijzonder,203.0,Hoorn,Basic School
Westfriese Vrije School Parcival,Nachtegaal 146,/basisscholen/hoorn/22851/westfriese-vrije-school-parcival/,Algemeen bijzonder,220.0,Hoorn,Basic School
IKC Het Fluitschip,Hogerbeetsstraat 14,/basisscholen/hoorn/7105/ikc-het-fluitschip/,Openbaar Basisonderwijs170,170.0,Hoorn,Basic School
obs Daltonschool De Tweemaster (De Windvaan),Ark 1,/basisscholen/hoorn/22006/obs-daltonschool-de-tweemaster-de-windvaan/,Openbaar Basisonderwijs248,248.0,Hoorn,Basic School
Kindcentrum Universum,Orionstraat 135,/basisscholen/hoorn/10974/kindcentrum-universum/,Openbaar Basisonderwijs138,138.0,Hoorn,Basic School
Kindcentrum Wereldwijzer,Nachtegaal 144,/basisscholen/hoorn/24200/kindcentrum-wereldwijzer/,Openbaar Basisonderwijs141,141.0,Hoorn,Basic School
obs De Zonnewijzer,Het Gangwerk 58,/basisscholen/hoorn/10975/obs-de-zonnewijzer/,Openbaar Basisonderwijs278,278.0,Hoorn,Basic School
Openbare Montessorischool Hoorn Binnenstad,Gravenstraat 19,/basisscholen/hoorn/10977/openbare-montessorischool-hoorn-binnenstad/,Openbaar Basisonderwijs245,245.0,Hoorn,Basic School
IKC De Klipper,Han Hoekstrahof 200b,/basisscholen/hoorn/23139/ikc-de-klipper/,Openbaar Basisonderwijs348,348.0,Hoorn,Basic School
Al Amana Hoorn,Hanebalk 1,/basisscholen/hoorn/25844/al-amana-hoorn/,Confessioneel overig,161.0,Hoorn,Basic School
IKEC Hoorn,Wilhelminalaan 1a,/basisscholen/hoorn/22983/ikec-hoorn/,Algemeen bijzonder,284.0,Hoorn,Basic School
IKEC Hoorn,Eikstraat 36,/basisscholen/hoorn/22986/ikec-hoorn/,Algemeen bijzonder,129.0,Hoorn,Basic School
OBS 't Jok,Duinweg Hoorn 1a,/basisscholen/hoorn-fryslân/4622/obs-t-jok/,Openbaar Basisonderwijs31,31.0,Hoorn (Fryslân),Basic School
Christelijke Basisschool 'T Jok,Duinweg Hoorn 1,/basisscholen/hoorn-fryslân/12360/christelijke-basisschool-t-jok/,Prot. christelijk,58.0,Hoorn (Fryslân),Basic School
Christelijke Basisschool Samen Op Weg,Dirk IV-plein 33,/basisscholen/hoornaar/5018/christelijke-basisschool-samen-op-weg/,Prot. christelijk,139.0,Hoornaar,Basic School
Openbare Basisschool Klim-op,Dirk IV-plein 35,/basisscholen/hoornaar/6930/openbare-basisschool-klim-op/,Openbaar Basisonderwijs106,106.0,Hoornaar,Basic School
It Bûtenplak,Aise Bruggenswei 2,/basisscholen/hoornsterzwaag/6749/it-butenplak/,Openbaar Basisonderwijs71,71.0,Hoornsterzwaag,Basic School
Basisschool De Mussenberg,Voogdenstraat 2,/basisscholen/horn/4777/basisschool-de-mussenberg/,Katholiek Basisonderwijs217,217.0,Horn,Basic School
Latasteschool,Bergerweg 37,/basisscholen/horn/9596/latasteschool/,Katholiek Speciaal,135.0,Horn,Basic School
Rooms Katholieke Basisschool De Octopus,Octopusstraat 2,/basisscholen/horssen/9943/rooms-katholieke-basisschool-de-octopus/,Katholiek Basisonderwijs111,111.0,Horssen,Basic School
Speciaal Basisonderwijs De Twister,Gebr. van Doornelaan 25,/basisscholen/horst/11587/speciaal-basisonderwijs-de-twister/,Katholiek Speciaal,84.0,Horst,Basic School
Basisschool De Twister,Gebr. van Doornelaan 25,/basisscholen/horst/11591/basisschool-de-twister/,Katholiek Basisonderwijs179,179.0,Horst,Basic School
Basisschool De Doolgaard,Doolgaardstraat 24,/basisscholen/horst/11592/basisschool-de-doolgaard/,Katholiek Basisonderwijs351,351.0,Horst,Basic School
Openbaar Basisschool Weisterbeek,Schoolstraat 8,/basisscholen/horst/7791/openbaar-basisschool-weisterbeek/,Openbaar Basisonderwijs358,358.0,Horst,Basic School
Montessori Basisschool Houten,Hefbrug 9,/basisscholen/houten/5238/montessori-basisschool-houten/,Algemeen bijzonder,259.0,Houten,Basic School
Het Mozaïek,Glazeniersgilde 18,/basisscholen/houten/6549/het-mozaiek/,Prot. christelijk,211.0,Houten,Basic School
Wereldwijs,Guldenslag 131,/basisscholen/houten/10500/wereldwijs/,Prot. christelijk,236.0,Houten,Basic School
De Fontein Houten,Bronmos 2,/basisscholen/houten/6554/de-fontein-houten/,Prot. christelijk,235.0,Houten,Basic School
Prot. Christelijke basisschool De Zonnewijzer,Zonnehout 1,/basisscholen/houten/6555/prot-christelijke-basisschool-de-zonnewijzer/,Prot. christelijk,362.0,Houten,Basic School
Johannes Bogermanschool,Tuibrug 10,/basisscholen/houten/6565/johannes-bogermanschool/,Prot. christelijk,234.0,Houten,Basic School
Christelijke basisschool De Triangel Houten,Jukveld 2,/basisscholen/houten/10856/christelijke-basisschool-de-triangel-houten/,Prot. christelijk,86.0,Houten,Basic School
Openbare basisschool De Velduil,Eggeveld 4 -6,/basisscholen/houten/7426/openbare-basisschool-de-velduil/,Openbaar Basisonderwijs319,319.0,Houten,Basic School
Openbare Basisschool De Bijenkorf,Riddersborch 143,/basisscholen/houten/11253/openbare-basisschool-de-bijenkorf/,Openbaar Basisonderwijs250,250.0,Houten,Basic School
Openbare Basisschool Ridderspoor,Horigenland 50,/basisscholen/houten/7428/openbare-basisschool-ridderspoor/,Openbaar Basisonderwijs219,219.0,Houten,Basic School
Openbare Daltonbasisschool de Plantage,Plantagepolder 1,/basisscholen/houten/7429/openbare-daltonbasisschool-de-plantage/,Openbaar Basisonderwijs460,460.0,Houten,Basic School
Berg en Bosch Onderwijs,Handboog 4,/basisscholen/houten/25823/berg-en-bosch-onderwijs/,Algemeen bijzonder,111.0,Houten,Basic School
School voor Speciaal Basisonderwijs De Wissel,Galerijmuur 51,/basisscholen/houten/11275/school-voor-speciaal-basisonderwijs-de-wissel/,Algemeen bijzonder,90.0,Houten,Basic School
KBS 't Schoolhuys,Tappersgilde 22,/basisscholen/houten/11477/kbs-t-schoolhuys/,Katholiek Basisonderwijs192,192.0,Houten,Basic School
Van Harte School,Loerikseweg 11 A,/basisscholen/houten/11479/van-harte-school/,Katholiek Basisonderwijs214,214.0,Houten,Basic School
Katholieke Daltonschool De Zevensprong,Scherpencamp 2,/basisscholen/houten/7672/katholieke-daltonschool-de-zevensprong/,Katholiek Basisonderwijs117,117.0,Houten,Basic School
RKBS de Vlinder,Bloesemtuin 17,/basisscholen/houten/11480/rkbs-de-vlinder/,Katholiek Basisonderwijs295,295.0,Houten,Basic School
Rooms Katholieke Basisschool De Stek,Torenmuur 1,/basisscholen/houten/7673/rooms-katholieke-basisschool-de-stek/,Katholiek Basisonderwijs290,290.0,Houten,Basic School
Basisschool Aventurijn,Raaigras 101 -d,/basisscholen/houten/21165/basisschool-aventurijn/,Katholiek Basisonderwijs420,420.0,Houten,Basic School
De Wiksel,It Grien 30,/basisscholen/houtigehage/10968/de-wiksel/,Openbaar Basisonderwijs62,62.0,Houtigehage,Basic School
Rooms Katholieke Basisschool Sainte Marie,Boomstraat 5,/basisscholen/huijbergen/5278/rooms-katholieke-basisschool-sainte-marie/,Katholiek Basisonderwijs112,112.0,Huijbergen,Basic School
Christelijke Basisschool Oud Zandbergen,Prins Alexanderweg 1 A,/basisscholen/huis-ter-heide-utrecht/25409/christelijke-basisschool-oud-zandbergen/,Algemeen bijzonder,139.0,Huis ter Heide (Utrecht),Basic School
IKC 't Holthuus,Ot en Sienpad 9,/basisscholen/huissen/9630/ikc-t-holthuus/,Algemeen bijzonder,462.0,Huissen,Basic School
IKC Het Sterrenbos,van Wijkstraat 16 A,/basisscholen/huissen/25651/ikc-het-sterrenbos/,Katholiek Basisonderwijs422,422.0,Huissen,Basic School
IKC De Abacus,van Voorststraat 21,/basisscholen/huissen/25652/ikc-de-abacus/,Katholiek Basisonderwijs342,342.0,Huissen,Basic School
IKC Binnenstebuiten,Plaza 123,/basisscholen/huissen/25653/ikc-binnenstebuiten/,Katholiek Basisonderwijs502,502.0,Huissen,Basic School
IKC Het Drieluik,Ot en Sienpad 3,/basisscholen/huissen/8104/ikc-het-drieluik/,Prot. christelijk,102.0,Huissen,Basic School
PCBS Van der Brugghenschool,Thorbeckestraat 2,/basisscholen/huizen/5987/pcbs-van-der-brugghenschool/,Prot. christelijk,278.0,Huizen,Basic School
PCBS De Parel,Holleblok 6,/basisscholen/huizen/9900/pcbs-de-parel/,Prot. christelijk,209.0,Huizen,Basic School
PCBS Rehoboth,Studiostraat 45,/basisscholen/huizen/5988/pcbs-rehoboth/,Prot. christelijk,190.0,Huizen,Basic School
PCBS De Ark,Salland 2,/basisscholen/huizen/9901/pcbs-de-ark/,Prot. christelijk,237.0,Huizen,Basic School
PCBS Beatrixschool,Jacob van Wassenaerstraat 5,/basisscholen/huizen/5989/pcbs-beatrixschool/,Prot. christelijk,188.0,Huizen,Basic School
