name,address,link,details,n_students,neighborhood,type
De Optimist,Barten 11,/basisscholen/heerenveen/6742/de-optimist/,Openbaar Basisonderwijs157,157.0,Heerenveen,Basic School
Van Maasdijkschool,Van Beyma Thoe Kingmaweg 1,/basisscholen/heerenveen/6743/van-maasdijkschool/,Openbaar Basisonderwijs173,173.0,Heerenveen,Basic School
Ekke de Haanschool,Zegge 2,/basisscholen/heerenveen/6745/ekke-de-haanschool/,Openbaar Basisonderwijs176,176.0,Heerenveen,Basic School
Obs Het  Vogelnest,Tureluurstraat 20,/basisscholen/heerenveen/6746/obs-het-vogelnest/,Openbaar Basisonderwijs90,90.0,Heerenveen,Basic School
OBS Route 0513,Veluwelaan 47,/basisscholen/heerenveen/6747/obs-route-0513/,Openbaar Basisonderwijs215,215.0,Heerenveen,Basic School
School voor Speciaal Basisonderwijs It Oerset,Domela Nieuwenhuisweg 7,/basisscholen/heerenveen/6755/school-voor-speciaal-basisonderwijs-it-oerset/,Openbaar Speciaal,136.0,Heerenveen,Basic School
o.b.s. Het Slingertouw,Schoterplein 29,/basisscholen/heerenveen/10650/obs-het-slingertouw/,Openbaar Basisonderwijs409,409.0,Heerenveen,Basic School
Christelijke Basisschool Spring!,Veluwelaan 47,/basisscholen/heerenveen/22588/christelijke-basisschool-spring/,Prot. christelijk,119.0,Heerenveen,Basic School
Christelijke Basisschool De Hoeksteen,Dr G van Schouwenlaan 2,/basisscholen/heerenveen/22590/christelijke-basisschool-de-hoeksteen/,Prot. christelijk,166.0,Heerenveen,Basic School
Christelijke Basisschool de Roerganger,Vogelwijk 21,/basisscholen/heerenveen/22592/christelijke-basisschool-de-roerganger/,Prot. christelijk,194.0,Heerenveen,Basic School
Chr Basissch Het Kompas,Jol 38,/basisscholen/heerenveen/22594/chr-basissch-het-kompas/,Prot. christelijk,201.0,Heerenveen,Basic School
De Burcht,Schoterplein 28,/basisscholen/heerenveen/21145/de-burcht/,Prot. christelijk,424.0,Heerenveen,Basic School
Basisschool Futura - school met de Bijbel,Beugel 201,/basisscholen/heerenveen/22685/basisschool-futura-school-met-de-bijbel/,Prot. christelijk,45.0,Heerenveen,Basic School
Meester Duisterhoutschool Heerenveen,Domela Nieuwenhuisweg 5,/basisscholen/heerenveen/23962/meester-duisterhoutschool-heerenveen/,Openbaar Speciaal,60.0,Heerenveen,Basic School
Basisschool De Buitenkans,Fluessen 8,/basisscholen/heerenveen/24251/basisschool-de-buitenkans/,Algemeen bijzonder,163.0,Heerenveen,Basic School
Tweestromen Basisschool,Bukestraat 3,/basisscholen/heerewaarden/10796/tweestromen-basisschool/,Openbaar Basisonderwijs93,93.0,Heerewaarden,Basic School
De Ruimte,Het Schild 2A,/basisscholen/heerhugowaard/5497/de-ruimte/,Algemeen bijzonder,140.0,Heerhugowaard,Basic School
Antoniusschool Castricum,Van Foreeststraat 6,/basisscholen/heerhugowaard/5708/antoniusschool-castricum/,Samenwerking Speciaal,88.0,Heerhugowaard,Basic School
Basisschool Nexus | voor speciaal basisonderwijs,Van Teylingenlaan 5,/basisscholen/heerhugowaard/23830/basisschool-nexus-voor-speciaal-basisonderwijs/,Algemeen bijzonder,88.0,Heerhugowaard,Basic School
