name,address,link,type of education,n_students,neighborhood,type
Ichthus College,Vondellaan 4,/middelbare-scholen/veenendaal/3012/ichthus-college/,Prot. christelijk,2028.0,Veenendaal,Middle School
Christelijk Lyceum Veenendaal,Kerkewijk 149,/middelbare-scholen/veenendaal/3157/christelijk-lyceum-veenendaal/,Prot. christelijk,1944.0,Veenendaal,Middle School
"Voortgezet Onderwijs Veghel, Zwijsen College Veghel",PW Alexander Sportpark 15,/middelbare-scholen/veghel/1838/voortgezet-onderwijs-veghel-zwijsen-college-veghel/,Katholiek Voortgezet,1407.0,Veghel,Middle School
"Voortgezet Onderwijs Veghel, Fioretti College Veghel",Muntelaar 4,/middelbare-scholen/veghel/1839/voortgezet-onderwijs-veghel-fioretti-college-veghel/,Katholiek Voortgezet,1390.0,Veghel,Middle School
Hub Noord-Brabant vestiging Veghel,Sweelinckstraat 4,/middelbare-scholen/veghel/12213/hub-noord-brabant-vestiging-veghel/,Katholiek Voortgezet,91.0,Veghel,Middle School
Sondervick College,Knegselseweg 30,/middelbare-scholen/veldhoven/1861/sondervick-college/,Overige Voortgezet,1227.0,Veldhoven,Middle School
Prins Willem Alexanderschool,Knegselseweg 8,/middelbare-scholen/veldhoven/12092/prins-willem-alexanderschool/,Katholiek Voortgezet,138.0,Veldhoven,Middle School
Zuiderbos school voor SO en VSO,Platanenlaan 26 b,/middelbare-scholen/veldhoven/8571/zuiderbos-school-voor-so-en-vso/,Algemeen bijzonder,18.0,Veldhoven,Middle School
Aeres VMBO Velp,Pinkenbergseweg 5F,/middelbare-scholen/velp-gelderland/1378/aeres-vmbo-velp/,Samenwerking Voortgezet,550.0,Velp (Gelderland),Middle School
Wereldklas,Gruttostraat 10,/middelbare-scholen/velp-gelderland/2086/wereldklas/,Confessioneel overig,19.0,Velp (Gelderland),Middle School
Titus Brandsma College,Reigerstraat 25,/middelbare-scholen/velp-gelderland/2089/titus-brandsma-college/,Confessioneel overig,635.0,Velp (Gelderland),Middle School
Merletcollege - Eerste Opvang Anderstaligen (EOA),Intendanceplantsoen 1,/middelbare-scholen/velp-noord-brabant/24545/merletcollege-eerste-opvang-anderstaligen-eoa/,Katholiek Voortgezet,140.0,Velp (Noord-Brabant),Middle School
Gymnasium Felisenum,Van Hogendorplaan 2,/middelbare-scholen/velsen-zuid/391/gymnasium-felisenum/,Openbaar Voortgezet,569.0,Velsen-Zuid,Middle School
Valuascollege,Craneveldstraat 33,/middelbare-scholen/venlo/1472/valuascollege/,Overige Voortgezet,2141.0,Venlo,Middle School
