,name,address,link,details,n_students,neighborhood,type
5247,Vrijebasisschool 't Kleurenbos,Oude Litherweg 18,/basisscholen/oss/24607/vrijebasisschool-t-kleurenbos/,Algemeen bijzonderBasisonderwijs68 leerlingen,68,Oss,Basic School
5248,Sterrenkijker Oss,Marius de Langenstraat 4,/basisscholen/oss/25774/sterrenkijker-oss/,Algemeen bijzonderSpeciaal onderwijs59 leerlingen,59,Oss,Basic School
5249,School voor Speciaal Basisonderwijs Het Baken,de Vlasakkers 7,/basisscholen/oss/22994/school-voor-speciaal-basisonderwijs-het-baken/,KatholiekSpeciaal basisonderwijs117 leerlingen,117,Oss,Basic School
5250,Kentalis Martinus van Beek Oss,Troelstrastraat 13,/basisscholen/oss/24055/kentalis-martinus-van-beek-oss/,Algemeen bijzonderSpeciaal onderwijs122 leerlingen,122,Oss,Basic School
5251,Basisschool Pius X,Wilhelminalaan 20,/basisscholen/oss/8318/basisschool-pius-x/,KatholiekBasisonderwijs237 leerlingen,237,Oss,Basic School
5252,Daltonschool De Evenaar,Rusheuvelstraat 75,/basisscholen/oss/12021/daltonschool-de-evenaar/,Algemeen bijzonderBasisonderwijs364 leerlingenDalton,364,Oss,Basic School
5253,Nicolaasschool voor Basisonderwijs,Koornstraat 14,/basisscholen/oss/8319/nicolaasschool-voor-basisonderwijs/,KatholiekBasisonderwijs413 leerlingen,413,Oss,Basic School
5254,Basisschool De Teugelaar,Berghemseweg 16,/basisscholen/oss/12022/basisschool-de-teugelaar/,KatholiekBasisonderwijs174 leerlingen,174,Oss,Basic School
5255,IKC Regenboog afd. Onderwijs,Lijsterlaan 2,/basisscholen/oss/12023/ikc-regenboog-afd-onderwijs/,KatholiekBasisonderwijs149 leerlingen,149,Oss,Basic School
5256,Daltonschool De Polderhof,Kersenlaan 1,/basisscholen/oss/12024/daltonschool-de-polderhof/,KatholiekBasisonderwijs289 leerlingenDalton,289,Oss,Basic School
5257,Kindcentrum De Aventurijn,Grindlaan 6,/basisscholen/oss/12026/kindcentrum-de-aventurijn/,KatholiekBasisonderwijs466 leerlingen,466,Oss,Basic School
5258,Montessorischool Elzeneind,Staringstraat 6-10,/basisscholen/oss/8322/montessorischool-elzeneind/,KatholiekBasisonderwijs341 leerlingenMontessori,341,Oss,Basic School
